dataset,modification,percentage,method,metric,value
Dancer 01,betweenness desc,0.2,Louvain-igraph,Modularity,0.6898205039576055
Dancer 01,betweenness desc,0.2,Louvain-igraph,NMI,0.6672428788455438
Dancer 01,betweenness desc,0.2,Fastgreedy,P,59.0
Dancer 01,betweenness desc,0.2,Fastgreedy,P*/P,0.1016949152542373
Dancer 01,betweenness desc,0.2,Fastgreedy,Modularity,0.6887609132018132
Dancer 01,betweenness desc,0.2,Fastgreedy,NMI,0.6814312348370081
Dancer 01,betweenness desc,0.2,Infomap,P,161.0
Dancer 01,betweenness desc,0.2,Infomap,P*/P,0.037267080745341616
Dancer 01,betweenness desc,0.2,Infomap,Modularity,0.6365809771780516
Dancer 01,betweenness desc,0.2,Infomap,NMI,0.5122598484775476
Dancer 01,betweenness desc,0.2,Label Propagation,P,56.0
Dancer 01,betweenness desc,0.2,Label Propagation,P*/P,0.10714285714285714
Dancer 01,betweenness desc,0.2,Label Propagation,Modularity,0.6877637759415802
Dancer 01,betweenness desc,0.2,Label Propagation,NMI,0.7065883872908665
Dancer 01,betweenness desc,0.2,Louvain,P,60.0
Dancer 01,betweenness desc,0.2,Louvain,P*/P,0.1
Dancer 01,betweenness desc,0.2,Louvain,Modularity,0.689853471522353
Dancer 01,betweenness desc,0.2,Louvain,NMI,0.6769669194169986
Dancer 01,betweenness asc,0.30000000000000004,Louvain-igraph,P,61.0
Dancer 01,betweenness asc,0.30000000000000004,Louvain-igraph,P*/P,0.09836065573770492
Dancer 01,betweenness asc,0.30000000000000004,Louvain-igraph,Modularity,0.6632011195265817
Dancer 01,betweenness asc,0.30000000000000004,Louvain-igraph,NMI,0.6227406377953468
Dancer 01,betweenness asc,0.30000000000000004,Fastgreedy,P,69.0
Dancer 01,betweenness asc,0.30000000000000004,Fastgreedy,P*/P,0.08695652173913043
Dancer 01,betweenness asc,0.30000000000000004,Fastgreedy,Modularity,0.6528539558735172
Dancer 01,betweenness asc,0.30000000000000004,Fastgreedy,NMI,0.6008376412907914
Dancer 01,betweenness asc,0.30000000000000004,Infomap,P,171.0
Dancer 01,betweenness asc,0.30000000000000004,Infomap,P*/P,0.03508771929824561
Dancer 01,betweenness asc,0.30000000000000004,Infomap,Modularity,0.6030172941982261
Dancer 01,betweenness asc,0.30000000000000004,Infomap,NMI,0.48144923017162755
Dancer 01,betweenness asc,0.30000000000000004,Label Propagation,P,56.0
Dancer 01,betweenness asc,0.30000000000000004,Label Propagation,P*/P,0.10714285714285714
Dancer 01,betweenness asc,0.30000000000000004,Label Propagation,Modularity,0.6571592795614062
Dancer 01,betweenness asc,0.30000000000000004,Label Propagation,NMI,0.6413828211706781
Dancer 01,betweenness asc,0.30000000000000004,Louvain,P,64.0
Dancer 01,betweenness asc,0.30000000000000004,Louvain,P*/P,0.09375
Dancer 01,betweenness asc,0.30000000000000004,Louvain,Modularity,0.662322823059326
Dancer 01,betweenness asc,0.30000000000000004,Louvain,NMI,0.614050819475363
Dancer 01,betweenness desc,0.30000000000000004,Louvain-igraph,P,102.0
Dancer 01,betweenness desc,0.30000000000000004,Louvain-igraph,P*/P,0.058823529411764705
Dancer 01,betweenness desc,0.30000000000000004,Louvain-igraph,Modularity,0.716194663691491
Dancer 01,betweenness desc,0.30000000000000004,Louvain-igraph,NMI,0.6306112593794588
Dancer 01,betweenness desc,0.30000000000000004,Fastgreedy,P,102.0
Dancer 01,betweenness desc,0.30000000000000004,Fastgreedy,P*/P,0.058823529411764705
Dancer 01,betweenness desc,0.30000000000000004,Fastgreedy,Modularity,0.7079910665749712
Dancer 01,betweenness desc,0.30000000000000004,Fastgreedy,NMI,0.6206194116487902
Dancer 01,betweenness desc,0.30000000000000004,Infomap,P,205.0
Dancer 01,betweenness desc,0.30000000000000004,Infomap,P*/P,0.02926829268292683
Dancer 01,betweenness desc,0.30000000000000004,Infomap,Modularity,0.6587064865335188
Dancer 01,betweenness desc,0.30000000000000004,Infomap,NMI,0.4942516630088744
Dancer 01,betweenness desc,0.30000000000000004,Label Propagation,P,97.0
Dancer 01,betweenness desc,0.30000000000000004,Label Propagation,P*/P,0.061855670103092786
Dancer 01,betweenness desc,0.30000000000000004,Label Propagation,Modularity,0.7116841315370411
Dancer 01,betweenness desc,0.30000000000000004,Label Propagation,NMI,0.6513026733869084
Dancer 01,betweenness desc,0.30000000000000004,Louvain,P,101.0
Dancer 01,betweenness desc,0.30000000000000004,Louvain,P*/P,0.0594059405940594
Dancer 01,betweenness desc,0.30000000000000004,Louvain,Modularity,0.7155213112923252
Dancer 01,betweenness desc,0.30000000000000004,Louvain,NMI,0.6363215724974381
Dancer 01,betweenness asc,0.4,Louvain-igraph,P,87.0
Dancer 01,betweenness asc,0.4,Louvain-igraph,P*/P,0.06896551724137931
Dancer 01,betweenness asc,0.4,Louvain-igraph,Modularity,0.6674772694282057
Dancer 01,betweenness asc,0.4,Louvain-igraph,NMI,0.5942785901069778
Dancer 01,betweenness asc,0.4,Fastgreedy,P,90.0
Dancer 01,betweenness asc,0.4,Fastgreedy,P*/P,0.06666666666666667
Dancer 01,betweenness asc,0.4,Fastgreedy,Modularity,0.6668388099845366
Dancer 01,betweenness asc,0.4,Fastgreedy,NMI,0.5983509019727936
Dancer 01,betweenness asc,0.4,Infomap,P,197.0
Dancer 01,betweenness asc,0.4,Infomap,P*/P,0.030456852791878174
Dancer 01,betweenness asc,0.4,Infomap,Modularity,0.5904808120263607
Dancer 01,betweenness asc,0.4,Infomap,NMI,0.442320245706003
Dancer 01,betweenness asc,0.4,Label Propagation,P,85.0
Dancer 01,betweenness asc,0.4,Label Propagation,P*/P,0.07058823529411765
Dancer 01,betweenness asc,0.4,Label Propagation,Modularity,0.6690945320663316
Dancer 01,betweenness asc,0.4,Label Propagation,NMI,0.6355333715428949
Dancer 01,betweenness asc,0.4,Louvain,P,88.0
Dancer 01,betweenness asc,0.4,Louvain,P*/P,0.06818181818181818
Dancer 01,betweenness asc,0.4,Louvain,Modularity,0.6728442396490274
Dancer 01,betweenness asc,0.4,Louvain,NMI,0.581340484115443
Dancer 01,betweenness desc,0.4,Louvain-igraph,P,167.0
Dancer 01,betweenness desc,0.4,Louvain-igraph,P*/P,0.03592814371257485
Dancer 01,betweenness desc,0.4,Louvain-igraph,Modularity,0.732453846052337
Dancer 01,betweenness desc,0.4,Louvain-igraph,NMI,0.5914149880312618
Dancer 01,betweenness desc,0.4,Fastgreedy,P,168.0
Dancer 01,betweenness desc,0.4,Fastgreedy,P*/P,0.03571428571428571
Dancer 01,betweenness desc,0.4,Fastgreedy,Modularity,0.7294762161260802
