dataset,modification,percentage,method,metric,value
Dancer 01,betweenness asc,0.2,Louvain-igraph,P*/P,0.1935483870967742
Dancer 01,betweenness asc,0.2,Louvain-igraph,Modularity,0.6536017948389717
Dancer 01,betweenness asc,0.2,Louvain-igraph,NMI,0.6842028443336493
Dancer 01,betweenness asc,0.2,Fastgreedy,P,31.0
Dancer 01,betweenness asc,0.2,Fastgreedy,P*/P,0.1935483870967742
Dancer 01,betweenness asc,0.2,Fastgreedy,Modularity,0.6469329004663743
Dancer 01,betweenness asc,0.2,Fastgreedy,NMI,0.6701518083794352
Dancer 01,betweenness asc,0.2,Infomap,P,137.0
Dancer 01,betweenness asc,0.2,Infomap,P*/P,0.043795620437956206
Dancer 01,betweenness asc,0.2,Infomap,Modularity,0.5955825649380734
Dancer 01,betweenness asc,0.2,Infomap,NMI,0.4861141065556471
Dancer 01,betweenness asc,0.2,Label Propagation,P,28.0
Dancer 01,betweenness asc,0.2,Label Propagation,P*/P,0.21428571428571427
Dancer 01,betweenness asc,0.2,Label Propagation,Modularity,0.6508620862992335
Dancer 01,betweenness asc,0.2,Label Propagation,NMI,0.7249335725889654
Dancer 01,betweenness asc,0.2,Louvain,P,31.0
Dancer 01,betweenness asc,0.2,Louvain,P*/P,0.1935483870967742
Dancer 01,betweenness asc,0.2,Louvain,Modularity,0.653821178261034
Dancer 01,betweenness asc,0.2,Louvain,NMI,0.6789654119651164
Dancer 01,betweenness desc,0.2,Louvain-igraph,P,61.0
Dancer 01,betweenness desc,0.2,Louvain-igraph,P*/P,0.09836065573770492
Dancer 01,betweenness desc,0.2,Louvain-igraph,Modularity,0.6890778093634848
Dancer 01,betweenness desc,0.2,Louvain-igraph,NMI,0.6846158804395734
Dancer 01,betweenness desc,0.2,Fastgreedy,P,61.0
Dancer 01,betweenness desc,0.2,Fastgreedy,P*/P,0.09836065573770492
Dancer 01,betweenness desc,0.2,Fastgreedy,Modularity,0.6828342276139507
Dancer 01,betweenness desc,0.2,Fastgreedy,NMI,0.6618384453402796
Dancer 01,betweenness desc,0.2,Infomap,P,163.0
Dancer 01,betweenness desc,0.2,Infomap,P*/P,0.03680981595092025
Dancer 01,betweenness desc,0.2,Infomap,Modularity,0.6346543651093424
Dancer 01,betweenness desc,0.2,Infomap,NMI,0.49598896812622245
Dancer 01,betweenness desc,0.2,Label Propagation,P,58.0
Dancer 01,betweenness desc,0.2,Label Propagation,P*/P,0.10344827586206896
Dancer 01,betweenness desc,0.2,Label Propagation,Modularity,0.6859641895327023
Dancer 01,betweenness desc,0.2,Label Propagation,NMI,0.6883067866576507
Dancer 01,betweenness desc,0.2,Louvain,P,60.0
Dancer 01,betweenness desc,0.2,Louvain,P*/P,0.1
Dancer 01,betweenness desc,0.2,Louvain,Modularity,0.688818211719995
Dancer 01,betweenness desc,0.2,Louvain,NMI,0.6726203810169579
Dancer 01,betweenness asc,0.30000000000000004,Louvain-igraph,P,57.0
Dancer 01,betweenness asc,0.30000000000000004,Louvain-igraph,P*/P,0.10526315789473684
Dancer 01,betweenness asc,0.30000000000000004,Louvain-igraph,Modularity,0.6629055220360967
Dancer 01,betweenness asc,0.30000000000000004,Louvain-igraph,NMI,0.6293116635697829
Dancer 01,betweenness asc,0.30000000000000004,Fastgreedy,P,56.0
Dancer 01,betweenness asc,0.30000000000000004,Fastgreedy,P*/P,0.10714285714285714
